x	y	label	key	showSelected1	group
20	-7	all times for region 16-9	all times for region 16-9	16-9	192
20	-7	all times for region 17-1	all times for region 17-1	17-1	193
20	-7	all times for region 17-10	all times for region 17-10	17-10	194
20	-7	all times for region 17-11	all times for region 17-11	17-11	195
20	-7	all times for region 17-12	all times for region 17-12	17-12	196
20	-7	all times for region 17-13	all times for region 17-13	17-13	197
20	-7	all times for region 17-14	all times for region 17-14	17-14	198
20	-7	all times for region 17-15	all times for region 17-15	17-15	199
20	-7	all times for region 17-16	all times for region 17-16	17-16	200
20	-7	all times for region 17-17	all times for region 17-17	17-17	201
20	-7	all times for region 17-18	all times for region 17-18	17-18	202
20	-7	all times for region 17-19	all times for region 17-19	17-19	203
20	-7	all times for region 17-2	all times for region 17-2	17-2	204
20	-7	all times for region 17-20	all times for region 17-20	17-20	205
20	-7	all times for region 17-21	all times for region 17-21	17-21	206
20	-7	all times for region 17-22	all times for region 17-22	17-22	207
20	-7	all times for region 17-23	all times for region 17-23	17-23	208
20	-7	all times for region 17-24	all times for region 17-24	17-24	209
20	-7	all times for region 17-3	all times for region 17-3	17-3	210
20	-7	all times for region 17-4	all times for region 17-4	17-4	211
20	-7	all times for region 17-5	all times for region 17-5	17-5	212
20	-7	all times for region 17-6	all times for region 17-6	17-6	213
20	-7	all times for region 17-7	all times for region 17-7	17-7	214
20	-7	all times for region 17-8	all times for region 17-8	17-8	215
20	-7	all times for region 17-9	all times for region 17-9	17-9	216
20	-7	all times for region 18-1	all times for region 18-1	18-1	217
20	-7	all times for region 18-10	all times for region 18-10	18-10	218
20	-7	all times for region 18-11	all times for region 18-11	18-11	219
20	-7	all times for region 18-12	all times for region 18-12	18-12	220
20	-7	all times for region 18-13	all times for region 18-13	18-13	221
20	-7	all times for region 18-14	all times for region 18-14	18-14	222
20	-7	all times for region 18-15	all times for region 18-15	18-15	223
20	-7	all times for region 18-16	all times for region 18-16	18-16	224
20	-7	all times for region 18-17	all times for region 18-17	18-17	225
20	-7	all times for region 18-18	all times for region 18-18	18-18	226
20	-7	all times for region 18-19	all times for region 18-19	18-19	227
20	-7	all times for region 18-2	all times for region 18-2	18-2	228
20	-7	all times for region 18-20	all times for region 18-20	18-20	229
20	-7	all times for region 18-21	all times for region 18-21	18-21	230
20	-7	all times for region 18-22	all times for region 18-22	18-22	231
20	-7	all times for region 18-23	all times for region 18-23	18-23	232
20	-7	all times for region 18-24	all times for region 18-24	18-24	233
20	-7	all times for region 18-3	all times for region 18-3	18-3	234
20	-7	all times for region 18-4	all times for region 18-4	18-4	235
