x	y	label	key	showSelected1	group
20	-7	all times for region 8-4	all times for region 8-4	8-4	547
20	-7	all times for region 8-5	all times for region 8-5	8-5	548
20	-7	all times for region 8-6	all times for region 8-6	8-6	549
20	-7	all times for region 8-7	all times for region 8-7	8-7	550
20	-7	all times for region 8-8	all times for region 8-8	8-8	551
20	-7	all times for region 8-9	all times for region 8-9	8-9	552
20	-7	all times for region 9-1	all times for region 9-1	9-1	553
20	-7	all times for region 9-10	all times for region 9-10	9-10	554
20	-7	all times for region 9-11	all times for region 9-11	9-11	555
20	-7	all times for region 9-12	all times for region 9-12	9-12	556
20	-7	all times for region 9-13	all times for region 9-13	9-13	557
20	-7	all times for region 9-14	all times for region 9-14	9-14	558
20	-7	all times for region 9-15	all times for region 9-15	9-15	559
20	-7	all times for region 9-16	all times for region 9-16	9-16	560
20	-7	all times for region 9-17	all times for region 9-17	9-17	561
20	-7	all times for region 9-18	all times for region 9-18	9-18	562
20	-7	all times for region 9-19	all times for region 9-19	9-19	563
20	-7	all times for region 9-2	all times for region 9-2	9-2	564
20	-7	all times for region 9-20	all times for region 9-20	9-20	565
20	-7	all times for region 9-21	all times for region 9-21	9-21	566
20	-7	all times for region 9-22	all times for region 9-22	9-22	567
20	-7	all times for region 9-23	all times for region 9-23	9-23	568
20	-7	all times for region 9-24	all times for region 9-24	9-24	569
20	-7	all times for region 9-3	all times for region 9-3	9-3	570
20	-7	all times for region 9-4	all times for region 9-4	9-4	571
20	-7	all times for region 9-5	all times for region 9-5	9-5	572
20	-7	all times for region 9-6	all times for region 9-6	9-6	573
20	-7	all times for region 9-7	all times for region 9-7	9-7	574
20	-7	all times for region 9-8	all times for region 9-8	9-8	575
20	-7	all times for region 9-9	all times for region 9-9	9-9	576
